sampleID	NCBI_accession
BackhedF_2015__SID536_12M	ERR525950
BackhedF_2015__SID536_4M	ERR525951
BackhedF_2015__SID536_B	ERR525952
BackhedF_2015__SID536_M	ERR525953
BackhedF_2015__SID544_12M	ERR525956
BackhedF_2015__SID544_4M	ERR525957
BackhedF_2015__SID544_B	ERR525958
BackhedF_2015__SID544_M	ERR525959
BackhedF_2015__SID546_12M	ERR525960
BackhedF_2015__SID546_4M	ERR525961
BackhedF_2015__SID546_B	ERR525962
BackhedF_2015__SID546_M	ERR525963
BackhedF_2015__SID549_12M	ERR525964
BackhedF_2015__SID549_4M	ERR525965
BackhedF_2015__SID549_B	ERR525966
BackhedF_2015__SID549_M	ERR525967
BackhedF_2015__SID560_12M	ERR525968
BackhedF_2015__SID560_4M	ERR525969
BackhedF_2015__SID560_B	ERR525970
BackhedF_2015__SID560_M	ERR525971
BackhedF_2015__SID565_12M	ERR525972
BackhedF_2015__SID565_4M	ERR525973
BackhedF_2015__SID565_B	ERR525974
BackhedF_2015__SID565_M	ERR525975
BackhedF_2015__SID566_12M	ERR525976
BackhedF_2015__SID566_4M	ERR525977
BackhedF_2015__SID566_B	ERR525978
BackhedF_2015__SID566_M	ERR525979
BackhedF_2015__SID567_12M	ERR525980
BackhedF_2015__SID567_4M	ERR525981
BackhedF_2015__SID567_B	ERR525982
BackhedF_2015__SID567_M	ERR525983
BackhedF_2015__SID570_12M	ERR525984
BackhedF_2015__SID570_4M	ERR525985
BackhedF_2015__SID570_B	ERR525986
BackhedF_2015__SID570_M	ERR525987
BackhedF_2015__SID572_12M	ERR525988
BackhedF_2015__SID572_4M	ERR525989
BackhedF_2015__SID572_B	ERR525990
BackhedF_2015__SID572_M	ERR525991
BackhedF_2015__SID577_12M	ERR525992
BackhedF_2015__SID577_4M	ERR525993
BackhedF_2015__SID577_B	ERR525994
BackhedF_2015__SID577_M	ERR525995
BackhedF_2015__SID582_12M	ERR525996
BackhedF_2015__SID582_4M	ERR525997
BackhedF_2015__SID582_B	ERR525998
BackhedF_2015__SID582_M	ERR525999
BackhedF_2015__SID585_12M	ERR526000
BackhedF_2015__SID585_4M	ERR526001
BackhedF_2015__SID585_B	ERR526002
BackhedF_2015__SID585_M	ERR526003
BackhedF_2015__SID587_12M	ERR526004
BackhedF_2015__SID587_4M	ERR526005
BackhedF_2015__SID587_B	ERR526006
BackhedF_2015__SID587_M	ERR526007
BackhedF_2015__SID589_12M	ERR526008
BackhedF_2015__SID589_4M	ERR526009
BackhedF_2015__SID589_B	ERR526010
BackhedF_2015__SID589_M	ERR526011
BackhedF_2015__SID590_12M	ERR526012
BackhedF_2015__SID590_4M	ERR526013
BackhedF_2015__SID590_B	ERR526014
BackhedF_2015__SID590_M	ERR526015
BackhedF_2015__SID591_12M	ERR526016
BackhedF_2015__SID591_4M	ERR526017
BackhedF_2015__SID591_B	ERR526018
BackhedF_2015__SID591_M	ERR526019
BackhedF_2015__SID598_12M	ERR526020
BackhedF_2015__SID598_4M	ERR526021
BackhedF_2015__SID598_B	ERR526022
BackhedF_2015__SID598_M	ERR526023
BackhedF_2015__SID599_12M	ERR526024
BackhedF_2015__SID599_4M	ERR526025
BackhedF_2015__SID599_B	ERR526026
BackhedF_2015__SID599_M	ERR526027
BackhedF_2015__SID608_12M	ERR526028
BackhedF_2015__SID608_4M	ERR526029
BackhedF_2015__SID608_B	ERR526030
BackhedF_2015__SID608_M	ERR526031
BackhedF_2015__SID615_12M	ERR526032
BackhedF_2015__SID615_4M	ERR526033
BackhedF_2015__SID615_B	ERR526034
BackhedF_2015__SID615_M	ERR526035
BackhedF_2015__SID622_12M	ERR526036
BackhedF_2015__SID622_4M	ERR526037
BackhedF_2015__SID622_B	ERR526038
BackhedF_2015__SID622_M	ERR526039
BackhedF_2015__SID624_12M	ERR526040
BackhedF_2015__SID624_4M	ERR526041
BackhedF_2015__SID624_B	ERR526042
BackhedF_2015__SID624_M	ERR526043
BackhedF_2015__SID626_12M	ERR526044
BackhedF_2015__SID626_4M	ERR526045
BackhedF_2015__SID626_B	ERR526046
BackhedF_2015__SID626_M	ERR526047
BackhedF_2015__SID633_12M	ERR526048
BackhedF_2015__SID633_4M	ERR526049
BackhedF_2015__SID633_B	ERR526050
BackhedF_2015__SID633_M	ERR526051
BackhedF_2015__SID635_12M	ERR526052
BackhedF_2015__SID635_4M	ERR526053
BackhedF_2015__SID635_B	ERR526054
BackhedF_2015__SID635_M	ERR526055
BackhedF_2015__SID637_12M	ERR526056
BackhedF_2015__SID637_4M	ERR526057
BackhedF_2015__SID637_B	ERR526058
BackhedF_2015__SID637_M	ERR526059
BackhedF_2015__SID640_12M	ERR526060
BackhedF_2015__SID640_4M	ERR526061
BackhedF_2015__SID640_B	ERR526062
BackhedF_2015__SID640_M	ERR526063
BackhedF_2015__SID7_12M	ERR526068
BackhedF_2015__SID7_4M	ERR526069
BackhedF_2015__SID7_B	ERR526074
BackhedF_2015__SID7_M	ERR526075
BackhedF_2015__SID70_12M	ERR526064
BackhedF_2015__SID70_4M	ERR526065
BackhedF_2015__SID70_B	ERR526066
BackhedF_2015__SID70_M	ERR526067
BackhedF_2015__SID78_12M	ERR526070
BackhedF_2015__SID78_4M	ERR526071
BackhedF_2015__SID78_B	ERR526072
BackhedF_2015__SID78_M	ERR526073
BackhedF_2015__SID82_12M	ERR526076
BackhedF_2015__SID82_4M	ERR526077
BackhedF_2015__SID82_B	ERR526078
BackhedF_2015__SID82_M	ERR526079
BackhedF_2015__SID87_12M	ERR526080
BackhedF_2015__SID87_4M	ERR526081
BackhedF_2015__SID87_B	ERR526082
BackhedF_2015__SID87_M	ERR526083
BackhedF_2015__SID9_12M	ERR526084
BackhedF_2015__SID9_4M	ERR526085
BackhedF_2015__SID9_B	ERR526086
BackhedF_2015__SID9_M	ERR526087
Bengtsson-PalmeJ_2015__TRAVELRES1	ERR636349
Bengtsson-PalmeJ_2015__TRAVELRES10	ERR636358
Bengtsson-PalmeJ_2015__TRAVELRES11	ERR636359
Bengtsson-PalmeJ_2015__TRAVELRES12	ERR636360
Bengtsson-PalmeJ_2015__TRAVELRES13	ERR636361
Bengtsson-PalmeJ_2015__TRAVELRES14	ERR636362
Bengtsson-PalmeJ_2015__TRAVELRES15	ERR636363
Bengtsson-PalmeJ_2015__TRAVELRES16	ERR636364
Bengtsson-PalmeJ_2015__TRAVELRES17	ERR636365
Bengtsson-PalmeJ_2015__TRAVELRES18	ERR636366
Bengtsson-PalmeJ_2015__TRAVELRES19	ERR636367
Bengtsson-PalmeJ_2015__TRAVELRES2	ERR636350
Bengtsson-PalmeJ_2015__TRAVELRES20	ERR636368
Bengtsson-PalmeJ_2015__TRAVELRES21	ERR636369
Bengtsson-PalmeJ_2015__TRAVELRES22	ERR636370
Bengtsson-PalmeJ_2015__TRAVELRES23	ERR636371
Bengtsson-PalmeJ_2015__TRAVELRES24	ERR636372
Bengtsson-PalmeJ_2015__TRAVELRES25	ERR636373
Bengtsson-PalmeJ_2015__TRAVELRES26	ERR636374
Bengtsson-PalmeJ_2015__TRAVELRES27	ERR636375
Bengtsson-PalmeJ_2015__TRAVELRES28	ERR636376
Bengtsson-PalmeJ_2015__TRAVELRES29	ERR636377
Bengtsson-PalmeJ_2015__TRAVELRES3	ERR636351
Bengtsson-PalmeJ_2015__TRAVELRES30	ERR636378
Bengtsson-PalmeJ_2015__TRAVELRES31	ERR636379
Bengtsson-PalmeJ_2015__TRAVELRES32	ERR636380
Bengtsson-PalmeJ_2015__TRAVELRES33	ERR636381
Bengtsson-PalmeJ_2015__TRAVELRES34	ERR636382
Bengtsson-PalmeJ_2015__TRAVELRES35	ERR636383
Bengtsson-PalmeJ_2015__TRAVELRES36	ERR636384
Bengtsson-PalmeJ_2015__TRAVELRES37	ERR636385
Bengtsson-PalmeJ_2015__TRAVELRES38	ERR636386
Bengtsson-PalmeJ_2015__TRAVELRES39	ERR636387
Bengtsson-PalmeJ_2015__TRAVELRES4	ERR636352
Bengtsson-PalmeJ_2015__TRAVELRES40	ERR636388
Bengtsson-PalmeJ_2015__TRAVELRES41	ERR636389
Bengtsson-PalmeJ_2015__TRAVELRES42	ERR636390
Bengtsson-PalmeJ_2015__TRAVELRES43	ERR636391
Bengtsson-PalmeJ_2015__TRAVELRES44	ERR636392
Bengtsson-PalmeJ_2015__TRAVELRES45	ERR636393
Bengtsson-PalmeJ_2015__TRAVELRES46	ERR636394
Bengtsson-PalmeJ_2015__TRAVELRES47	ERR636395
Bengtsson-PalmeJ_2015__TRAVELRES48	ERR636396
Bengtsson-PalmeJ_2015__TRAVELRES49	ERR636397
Bengtsson-PalmeJ_2015__TRAVELRES5	ERR636353
Bengtsson-PalmeJ_2015__TRAVELRES50	ERR636398
Bengtsson-PalmeJ_2015__TRAVELRES51	ERR636399
Bengtsson-PalmeJ_2015__TRAVELRES52	ERR636400
Bengtsson-PalmeJ_2015__TRAVELRES53	ERR636401
Bengtsson-PalmeJ_2015__TRAVELRES54	ERR636402
Bengtsson-PalmeJ_2015__TRAVELRES55	ERR636403
Bengtsson-PalmeJ_2015__TRAVELRES56	ERR636404
Bengtsson-PalmeJ_2015__TRAVELRES57	ERR636405
Bengtsson-PalmeJ_2015__TRAVELRES58	ERR636406
Bengtsson-PalmeJ_2015__TRAVELRES59	ERR636407
Bengtsson-PalmeJ_2015__TRAVELRES6	ERR636354
Bengtsson-PalmeJ_2015__TRAVELRES60	ERR636408
Bengtsson-PalmeJ_2015__TRAVELRES61	ERR636409
Bengtsson-PalmeJ_2015__TRAVELRES62	ERR636410
Bengtsson-PalmeJ_2015__TRAVELRES63	ERR636411
Bengtsson-PalmeJ_2015__TRAVELRES64	ERR636412
Bengtsson-PalmeJ_2015__TRAVELRES65	ERR636413
Bengtsson-PalmeJ_2015__TRAVELRES66	ERR636414
Bengtsson-PalmeJ_2015__TRAVELRES67	ERR636415
Bengtsson-PalmeJ_2015__TRAVELRES68	ERR636416
Bengtsson-PalmeJ_2015__TRAVELRES69	ERR636417
Bengtsson-PalmeJ_2015__TRAVELRES7	ERR636355
Bengtsson-PalmeJ_2015__TRAVELRES70	ERR636418
Bengtsson-PalmeJ_2015__TRAVELRES8	ERR636356
Bengtsson-PalmeJ_2015__TRAVELRES9	ERR636357
BritoIL_2016__M1.1.SA	SRR2244401;SRR2236793;SRR2243639;SRR2243812;SRR2244215;SRR2245587;SRR2228273;SRR2228283;SRR2228304;SRR2228308;SRR2228313;SRR2228320;SRR2228347;SRR2228399;SRR2226903;SRR2226948;SRR2227815;SRR2228028;SRR2228363;SRR2228450;SRR2228455;SRR2228709
BritoIL_2016__M1.1.ST	SRR2231363;SRR2231379;SRR2195657;SRR2195742;SRR2195842;SRR2195848;SRR2195851;SRR2195888;SRR2195899;SRR2195911;SRR2249439;SRR2198981;SRR2199344;SRR2199433;SRR2199447;SRR2199461;SRR2199486;SRR2199654;SRR2199674
BritoIL_2016__M1.10.SA	SRR2228279;SRR2243471;SRR2243799;SRR2244011;SRR2246328;SRR2247154;SRR2243467;SRR2243564;SRR2243964;SRR2243976;SRR2245613;SRR2246385;SRR2247258;SRR2249149;SRR2228258;SRR2228264;SRR2228322;SRR2228323;SRR2228324;SRR2228338;SRR2228381;SRR2228390
BritoIL_2016__M1.10.ST	SRR2251251;SRR2250311;SRR2250498;SRR2188754;SRR2188761;SRR2188765;SRR2188780;SRR2188840;SRR2188976;SRR2188985;SRR2188987;SRR2187423;SRR2187434;SRR2187443;SRR2187554;SRR2187575;SRR2187581;SRR2187582;SRR2187586
BritoIL_2016__M1.15.SA	SRR2248686;SRR2236447;SRR2243795;SRR2244180;SRR2244354;SRR2248742;SRR2231720;SRR2232090;SRR2236719;SRR2236798;SRR2237511;SRR2237784;SRR2237416;SRR2231787;SRR2228620;SRR2228623;SRR2228636;SRR2228668;SRR2228672;SRR2228699;SRR2228729;SRR2228732
BritoIL_2016__M1.15.ST	SRR2228151;SRR2228211;SRR2245518;SRR2246384;SRR2248206;SRR2249278;SRR2250641;SRR2251641;SRR2227362;SRR2228055;SRR2228172;SRR2228210;SRR2228216;SRR2228446;SRR2228631;SRR2228771
BritoIL_2016__M1.16.SA	SRR2237770;SRR2236743;SRR2236824;SRR2237071;SRR2237419;SRR2237614;SRR2236816;SRR2237400;SRR2237421;SRR2237512;SRR2237555;SRR2237628;SRR2237663;SRR2237820;SRR2236811;SRR2236846;SRR2237319;SRR2237566;SRR2237656;SRR2237714;SRR2237758;SRR2237801
BritoIL_2016__M1.16.ST	SRR2226885;SRR2244854;SRR2249519;SRR2188726;SRR2188728;SRR2188756;SRR2188983;SRR2188989;SRR2189013;SRR2189038;SRR2189052;SRR2195746;SRR2195804;SRR2195858;SRR2195863;SRR2195905;SRR2195882;SRR2195865;SRR2195677
BritoIL_2016__M1.20.SA	SRR2248850;SRR2236670;SRR2237591;SRR2243588;SRR2244308;SRR2245567;SRR2246131;SRR2246189;SRR2248294;SRR2231115;SRR2231737;SRR2231805;SRR2231999;SRR2232255;SRR2232278;SRR2232371;SRR2237352;SRR2224631;SRR2226798;SRR2227351;SRR2227589;SRR2228015
BritoIL_2016__M1.20.ST	SRR2227561;SRR2226874;SRR2228161;SRR2192756;SRR2192831;SRR2193437;SRR2193552;SRR2193844;SRR2193868;SRR2193955;SRR2194032;SRR2192741;SRR2193612;SRR2193890;SRR2194107;SRR2194650;SRR2194845;SRR2194940;SRR2194979
BritoIL_2016__M1.22.SA	SRR2248107;SRR2243631;SRR2243640;SRR2243983;SRR2244826;SRR2246376;SRR2247134;SRR2247601;SRR2247848;SRR2244533;SRR2245801;SRR2246297;SRR2247010;SRR2247066;SRR2221472;SRR2221479;SRR2221487;SRR2221646;SRR2221724;SRR2221864;SRR2221868;SRR2221884
