sampleID	NCBI_accession
IjazUZ_2017__S15_a_WGS	ERR1776131
IjazUZ_2017__S150_a_WGS	ERR1776121
IjazUZ_2017__S151_a_WGS	ERR1776122
IjazUZ_2017__S152_a_WGS	ERR1776123
IjazUZ_2017__S153_a_WGS	ERR1776124
IjazUZ_2017__S154_a_WGS	ERR1776125
IjazUZ_2017__S155_a_WGS	ERR1776126
IjazUZ_2017__S156_a_WGS	ERR1776127
IjazUZ_2017__S157_a_WGS	ERR1776128
IjazUZ_2017__S158_a_WGS	ERR1776129
IjazUZ_2017__S159_a_WGS	ERR1776130
IjazUZ_2017__S16_a_WGS	ERR1776140
IjazUZ_2017__S160_a_WGS	ERR1776132
IjazUZ_2017__S161_a_WGS	ERR1776133
IjazUZ_2017__S162_a_WGS	ERR1776134
IjazUZ_2017__S163_a_WGS	ERR1776135
IjazUZ_2017__S164_a_WGS	ERR1776136
IjazUZ_2017__S165_a_WGS	ERR1776137
IjazUZ_2017__S166_a_WGS	ERR1776138
IjazUZ_2017__S167_a_WGS	ERR1776139
IjazUZ_2017__S17_a_WGS	ERR1776141
IjazUZ_2017__S18_a_WGS	ERR1776142
IjazUZ_2017__S2_a_WGS	ERR1776148
IjazUZ_2017__S26_a_WGS	ERR1776144
IjazUZ_2017__S27_a_WGS	ERR1776145
IjazUZ_2017__S28_a_WGS	ERR1776146
IjazUZ_2017__S29_a_WGS	ERR1776147
IjazUZ_2017__S3_a_WGS	ERR1776156
IjazUZ_2017__S30_a_WGS	ERR1776149
IjazUZ_2017__S31_a_WGS	ERR1776150
IjazUZ_2017__S32_a_WGS	ERR1776151
IjazUZ_2017__S33_a_WGS	ERR1776152
IjazUZ_2017__S34_a_WGS	ERR1776153
IjazUZ_2017__S35_a_WGS	ERR1776154
IjazUZ_2017__S36_a_WGS	ERR1776155
IjazUZ_2017__S4_a_WGS	ERR1776163
IjazUZ_2017__S43_a_WGS	ERR1776157
IjazUZ_2017__S45_a_WGS	ERR1776158
IjazUZ_2017__S46_a_WGS	ERR1776159
IjazUZ_2017__S47_a_WGS	ERR1776160
IjazUZ_2017__S48_a_WGS	ERR1776161
IjazUZ_2017__S49_a_WGS	ERR1776162
IjazUZ_2017__S5_a_WGS	ERR1776174
IjazUZ_2017__S50_a_WGS	ERR1776164
IjazUZ_2017__S51_a_WGS	ERR1776165
IjazUZ_2017__S52_a_WGS	ERR1776166
IjazUZ_2017__S53_a_WGS	ERR1776167
IjazUZ_2017__S54_a_WGS	ERR1776168
IjazUZ_2017__S55_a_WGS	ERR1776169
IjazUZ_2017__S56_a_WGS	ERR1776170
IjazUZ_2017__S57_a_WGS	ERR1776171
IjazUZ_2017__S58_a_WGS	ERR1776172
IjazUZ_2017__S59_a_WGS	ERR1776173
IjazUZ_2017__S6_a_WGS	ERR1776185
IjazUZ_2017__S60_a_WGS	ERR1776175
IjazUZ_2017__S62_a_WGS	ERR1776177
IjazUZ_2017__S63_a_WGS	ERR1776178
IjazUZ_2017__S64_a_WGS	ERR1776179
IjazUZ_2017__S65_a_WGS	ERR1776180
IjazUZ_2017__S66_a_WGS	ERR1776181
IjazUZ_2017__S67_a_WGS	ERR1776182
IjazUZ_2017__S68_a_WGS	ERR1776183
IjazUZ_2017__S69_a_WGS	ERR1776184
IjazUZ_2017__S70_a_WGS	ERR1776186
IjazUZ_2017__S71_a_WGS	ERR1776187
IjazUZ_2017__S72_a_WGS	ERR1776188
IjazUZ_2017__S73_a_WGS	ERR1776189
IjazUZ_2017__S79_a_WGS	ERR1776190
IjazUZ_2017__S80_a_WGS	ERR1776191
IjazUZ_2017__S81_a_WGS	ERR1776192
IjazUZ_2017__S82_a_WGS	ERR1776193
IjazUZ_2017__S83_a_WGS	ERR1776194
IjazUZ_2017__S84_a_WGS	ERR1776195
IjazUZ_2017__S87_a_WGS	ERR1776196
KarlssonFH_2013__S112	ERR260249
KarlssonFH_2013__S118	ERR260250
KarlssonFH_2013__S121	ERR260251
KarlssonFH_2013__S126	ERR260252
KarlssonFH_2013__S127	ERR260253
KarlssonFH_2013__S131	ERR260254
KarlssonFH_2013__S137	ERR260268
KarlssonFH_2013__S141	ERR260255
KarlssonFH_2013__S143	ERR260256
KarlssonFH_2013__S144	ERR260257
KarlssonFH_2013__S146	ERR260258
KarlssonFH_2013__S153	ERR260259
KarlssonFH_2013__S155	ERR260260
KarlssonFH_2013__S158	ERR260261
KarlssonFH_2013__S186	ERR260262
KarlssonFH_2013__S187	ERR260263
KarlssonFH_2013__S193	ERR260264
KarlssonFH_2013__S194	ERR260265
KarlssonFH_2013__S195	ERR260266
KarlssonFH_2013__S198	ERR260267
KarlssonFH_2013__S200	ERR260228
KarlssonFH_2013__S205	ERR260229
KarlssonFH_2013__S224	ERR260230
KarlssonFH_2013__S225	ERR260231
KarlssonFH_2013__S227	ERR260232
KarlssonFH_2013__S229	ERR260233
KarlssonFH_2013__S231	ERR260234
KarlssonFH_2013__S235	ERR260235
KarlssonFH_2013__S239	ERR260236
KarlssonFH_2013__S243	ERR260237
KarlssonFH_2013__S244	ERR260238
KarlssonFH_2013__S248	ERR260239
KarlssonFH_2013__S249	ERR260269
KarlssonFH_2013__S258	ERR260240
KarlssonFH_2013__S263	ERR260241
KarlssonFH_2013__S264	ERR260242
KarlssonFH_2013__S268	ERR260243
KarlssonFH_2013__S269	ERR260244
KarlssonFH_2013__S278	ERR260245
KarlssonFH_2013__S286	ERR260270
KarlssonFH_2013__S288	ERR260246
KarlssonFH_2013__S290	ERR260247
KarlssonFH_2013__S297	ERR260271
KarlssonFH_2013__S299	ERR260248
KarlssonFH_2013__S304	ERR260132
KarlssonFH_2013__S305	ERR260133
KarlssonFH_2013__S312	ERR260134
KarlssonFH_2013__S317	ERR260135
KarlssonFH_2013__S327	ERR260136
KarlssonFH_2013__S330	ERR260137
KarlssonFH_2013__S332	ERR260138
KarlssonFH_2013__S334	ERR260139
KarlssonFH_2013__S342	ERR260272
KarlssonFH_2013__S344	ERR260140
KarlssonFH_2013__S347	ERR260141
KarlssonFH_2013__S349	ERR260142
KarlssonFH_2013__S350	ERR260143
KarlssonFH_2013__S353	ERR260144
KarlssonFH_2013__S354	ERR260145
KarlssonFH_2013__S356	ERR260146
KarlssonFH_2013__S365	ERR260147
KarlssonFH_2013__S367	ERR260148
KarlssonFH_2013__S370	ERR260149
KarlssonFH_2013__S372	ERR260150
KarlssonFH_2013__S378	ERR260151
KarlssonFH_2013__S380	ERR260152
KarlssonFH_2013__S381	ERR260153
KarlssonFH_2013__S384	ERR260154
KarlssonFH_2013__S389	ERR260155
KarlssonFH_2013__S393	ERR260156
KarlssonFH_2013__S395	ERR260157
KarlssonFH_2013__S397	ERR260158
KarlssonFH_2013__S398	ERR260159
KarlssonFH_2013__S420	ERR260160
KarlssonFH_2013__S421	ERR260161
KarlssonFH_2013__S422	ERR260162
KarlssonFH_2013__S424	ERR260163
KarlssonFH_2013__S432	ERR260164
KarlssonFH_2013__S434	ERR260165
KarlssonFH_2013__S436	ERR260166
KarlssonFH_2013__S439	ERR260167
KarlssonFH_2013__S441	ERR260168
KarlssonFH_2013__S446	ERR260169
KarlssonFH_2013__S451	ERR260170
KarlssonFH_2013__S456	ERR260171
KarlssonFH_2013__S457	ERR260172
KarlssonFH_2013__S458	ERR260173
KarlssonFH_2013__S462	ERR260174
KarlssonFH_2013__S463	ERR260175
KarlssonFH_2013__S468	ERR260176
KarlssonFH_2013__S470	ERR260273
KarlssonFH_2013__S472	ERR260177
KarlssonFH_2013__S475	ERR260274
KarlssonFH_2013__S476	ERR260178
KarlssonFH_2013__S478	ERR260179
KarlssonFH_2013__S479	ERR260180
KarlssonFH_2013__S483	ERR260181
KarlssonFH_2013__S484	ERR260182
KarlssonFH_2013__S485	ERR260275
KarlssonFH_2013__S487	ERR260183
KarlssonFH_2013__S488	ERR260184
KarlssonFH_2013__S495	ERR260185
KarlssonFH_2013__S497	ERR260186
KarlssonFH_2013__S51	ERR260187
KarlssonFH_2013__S517	ERR260188
KarlssonFH_2013__S524	ERR260189
KarlssonFH_2013__S526	ERR260190
KarlssonFH_2013__S529	ERR260191
KarlssonFH_2013__S53	ERR260193
KarlssonFH_2013__S530	ERR260192
KarlssonFH_2013__S536	ERR260194
KarlssonFH_2013__S54	ERR260195
KarlssonFH_2013__S543	ERR260196
KarlssonFH_2013__S547	ERR260197
KarlssonFH_2013__S550	ERR260276
KarlssonFH_2013__S551	ERR260198
KarlssonFH_2013__S552	ERR260199
KarlssonFH_2013__S558	ERR260200
KarlssonFH_2013__S561	ERR260201
KarlssonFH_2013__S563	ERR260202
KarlssonFH_2013__S577	ERR260203
KarlssonFH_2013__S58	ERR260204
KarlssonFH_2013__S584	ERR260205
KarlssonFH_2013__S587	ERR260206
KarlssonFH_2013__S589	ERR260207
KarlssonFH_2013__S59	ERR260209
KarlssonFH_2013__S591	ERR260208
KarlssonFH_2013__S598	ERR260210
KarlssonFH_2013__S60	ERR275251;ERR260212
KarlssonFH_2013__S600	ERR260211
KarlssonFH_2013__S602	ERR275252;ERR260213
KarlssonFH_2013__S604	ERR260214
KarlssonFH_2013__S614	ERR260215
KarlssonFH_2013__S617	ERR260216
KarlssonFH_2013__S618	ERR260217
KarlssonFH_2013__S628	ERR260218
KarlssonFH_2013__S638	ERR260219
KarlssonFH_2013__S640	ERR260220
KarlssonFH_2013__S643	ERR260221
KarlssonFH_2013__S646	ERR260222
KarlssonFH_2013__S655	ERR260223
KarlssonFH_2013__S77	ERR260224
KarlssonFH_2013__S80	ERR260225
KarlssonFH_2013__S88	ERR260226
KarlssonFH_2013__S92	ERR260227
KosticAD_2015__PRJNA231909.3101140	SRR1980365;SRR1980382;SRR1980395;SRR1915604;SRR1910135
KosticAD_2015__PRJNA231909.3101335	SRR1980429;SRR1980436;SRR1980457;SRR1915666;SRR1909299
KosticAD_2015__PRJNA231909.3101336	SRR1980448;SRR1980472;SRR1980486;SRR1915807;SRR1909671
KosticAD_2015__PRJNA231909.3101338	SRR1980433;SRR1980444;SRR1980488;SRR1915673;SRR1909582
KosticAD_2015__PRJNA231909.3101436	SRR1910718;SRR1910914;SRR1915875
KosticAD_2015__PRJNA231909.3101439	SRR1916030;SRR1918912;SRR1918926
KosticAD_2015__PRJNA231909.3102732	SRR1980389;SRR1980292;SRR1980393;SRR1916443;SRR1915883
KosticAD_2015__PRJNA231909.3102986	SRR1910634;SRR1910665;SRR1915824
KosticAD_2015__PRJNA231909.3103734	SRR1980163;SRR1980234;SRR1980247;SRR1915675;SRR1909387
KosticAD_2015__PRJNA231909.3103736	SRR1980484;SRR1980503;SRR1980458;SRR1915827;SRR1909412
KosticAD_2015__PRJNA231909.3104913	SRR1910638;SRR1910615;SRR1916059
KosticAD_2015__PRJNA231909.3105378	SRR1910697;SRR1910700;SRR1916050
KosticAD_2015__PRJNA231909.3105379	SRR1916041;SRR1916411;SRR1910711
KosticAD_2015__PRJNA231909.3105747	SRR1980324;SRR1980332;SRR1980400;SRR1916408;SRR1909190
KosticAD_2015__PRJNA231909.3105829	SRR1980447;SRR1980466;SRR1980478;SRR1915941;SRR1915778
KosticAD_2015__PRJNA231909.3105875	SRR1916016;SRR1918917;SRR1916820
KosticAD_2015__PRJNA231909.3106013	SRR1980346;SRR1980379;SRR1980388;SRR1915629;SRR1909668
KosticAD_2015__PRJNA231909.3106384	SRR1980288;SRR1980326;SRR1980378;SRR1916442;SRR1909245
KosticAD_2015__PRJNA231909.3107336	SRR1915997;SRR1916592;SRR1916822
KosticAD_2015__PRJNA231909.3107345	SRR1980320;SRR1980323;SRR1980339;SRR1916450;SRR1909383
KosticAD_2015__PRJNA231909.3107373	SRR1980305;SRR1980322;SRR1980383;SRR1916444;SRR1910186
KosticAD_2015__PRJNA231909.3107376	SRR1980353;SRR1980363;SRR1980380;SRR1915880;SRR1915685
KosticAD_2015__PRJNA231909.3107526	SRR1980443;SRR1980482;SRR1980493;SRR1915751;SRR1909476
KosticAD_2015__PRJNA231909.3107527	SRR1980440;SRR1980446;SRR1980490;SRR1916431;SRR1909284
KosticAD_2015__PRJNA231909.3107649	SRR1910574;SRR1910626;SRR1916054
KosticAD_2015__PRJNA231909.3107651	SRR1910621;SRR1916034;SRR1916032
KosticAD_2015__PRJNA231909.3107859	SRR1980336;SRR1980349;SRR1980403;SRR1915831;SRR1910178
KosticAD_2015__PRJNA231909.3107861	SRR1980294;SRR1980308;SRR1980359;SRR1915904;SRR1915816
KosticAD_2015__PRJNA231909.3107883	SRR1980387;SRR1980391;SRR1980406;SRR1915633;SRR1909385
KosticAD_2015__PRJNA231909.3107978	SRR1980456;SRR1980465;SRR1980474;SRR1916433;SRR1915626;SRR1916028;SRR1916043;SRR1909693
KosticAD_2015__PRJNA231909.3108096	SRR1980316;SRR1980358;SRR1980366;SRR1915929;SRR1915792
KosticAD_2015__PRJNA231909.3108098	SRR1980297;SRR1980329;SRR1980344;SRR1915884;SRR1915772
KosticAD_2015__PRJNA231909.3108100	SRR1980287;SRR1980313;SRR1980335;SRR1915674;SRR1909576
KosticAD_2015__PRJNA231909.3108103	SRR1980299;SRR1980306;SRR1980367;SRR1915839;SRR1915664
KosticAD_2015__PRJNA231909.3108105	SRR1980286;SRR1980355;SRR1980364;SRR1915873;SRR1915605
KosticAD_2015__PRJNA231909.3108107	SRR1980300;SRR1980314;SRR1980399;SRR1915588;SRR1909666
KosticAD_2015__PRJNA231909.3108330	SRR1910609;SRR1910657;SRR1910831
KosticAD_2015__PRJNA231909.3108332	SRR1910631;SRR1910655;SRR1916029
KosticAD_2015__PRJNA231909.3108363	SRR1980295;SRR1980296;SRR1980361;SRR1915593;SRR1909496
KosticAD_2015__PRJNA231909.3108437	SRR1980238;SRR1980230;SRR1980249;SRR1915788;SRR1909305
KosticAD_2015__PRJNA231909.3108440	SRR1980434;SRR1980455;SRR1980469;SRR1915899;SRR1915617
KosticAD_2015__PRJNA231909.3108485	SRR1918914;SRR1918925;SRR1916007
KosticAD_2015__PRJNA231909.3108488	SRR1916017;SRR1916764;SRR1916818
KosticAD_2015__PRJNA231909.3108490	SRR1916018;SRR1918915;SRR1918919
KosticAD_2015__PRJNA231909.3108598	SRR1980354;SRR1980398;SRR1980404;SRR1916447;SRR1915885
KosticAD_2015__PRJNA231909.3108601	SRR1980293;SRR1980315;SRR1980321;SRR1915693;SRR1909394
KosticAD_2015__PRJNA231909.3108874	SRR1980437;SRR1980445;SRR1980468;SRR1915838;SRR1909540
KosticAD_2015__PRJNA231909.3108875	SRR1980304;SRR1980307;SRR1980381;SRR1915813;SRR1909665
KosticAD_2015__PRJNA231909.3109753	SRR1910678;SRR1916056;SRR1910595
KosticAD_2015__PRJNA231909.3109755	SRR1910592;SRR1910703;SRR1916055
KosticAD_2015__PRJNA231909.3109940	SRR1980451;SRR1980461;SRR1980491;SRR1916025;SRR1916843;SRR1918918;SRR1915779;SRR1909515
KosticAD_2015__PRJNA231909.3109945	SRR1980432;SRR1980471;SRR1980492;SRR1915678;SRR1915663;SRR1916023;SRR1916049;SRR1909597
KosticAD_2015__PRJNA231909.3109952	SRR1910668;SRR1910692;SRR1916045
KosticAD_2015__PRJNA231909.3109997	SRR1916014;SRR1918913;SRR1918922
KosticAD_2015__PRJNA231909.3110006	SRR1918927;SRR1918830;SRR1916001
KosticAD_2015__PRJNA231909.3110086	SRR1910643;SRR1916031;SRR1916060
KosticAD_2015__PRJNA231909.3110090	SRR1910570;SRR1910830;SRR1915817
KosticAD_2015__PRJNA231909.3110226	SRR1980227;SRR1980229;SRR1980151;SRR1916410;SRR1915867
KosticAD_2015__PRJNA231909.3111969	SRR1916033;SRR1916817;SRR1918920
KosticAD_2015__PRJNA231909.3111970	SRR1910591;SRR1915870;SRR1915878
KosticAD_2015__PRJNA231909.3112118	SRR1918910;SRR1915984;SRR1918921
KosticAD_2015__PRJNA231909.3112121	SRR1910832;SRR1910853;SRR1913123
KosticAD_2015__PRJNA231909.3112122	SRR1918905;SRR1916009;SRR1918911
KosticAD_2015__PRJNA231909.3112348	SRR1980476;SRR1980497;SRR1980475;SRR1915627;SRR1910216
KosticAD_2015__PRJNA231909.3112358	SRR1980291;SRR1980376;SRR1980401;SRR1915910;SRR1915655
KosticAD_2015__PRJNA231909.3112359	SRR1980357;SRR1980369;SRR1980390;SRR1915934;SRR1915601
KosticAD_2015__PRJNA231909.3112360	SRR1980342;SRR1980356;SRR1980375;SRR1915937;SRR1915639
KosticAD_2015__PRJNA231909.3112363	SRR1980302;SRR1980303;SRR1980394;SRR1915939;SRR1915825
KosticAD_2015__PRJNA231909.3112365	SRR1980397;SRR1980407;SRR1980408;SRR1915785;SRR1909546
KosticAD_2015__PRJNA231909.3112367	SRR1980311;SRR1980334;SRR1980405;SRR1915907;SRR1915586
KosticAD_2015__PRJNA231909.3112419	SRR1916005;SRR1918831;SRR1916008
KosticAD_2015__PRJNA231909.3112924	SRR1918822;SRR1918827;SRR1915986
KosticAD_2015__PRJNA231909.3112925	SRR1915879;SRR1910619;SRR1910618
KosticAD_2015__PRJNA231909.3113035	SRR1980473;SRR1980485;SRR1980504;SRR1916438;SRR1909679
KosticAD_2015__PRJNA231909.3113044	SRR1918825;SRR1918829;SRR1915995
KosticAD_2015__PRJNA231909.3113065	SRR1910612;SRR1910707;SRR1910709
KosticAD_2015__PRJNA231909.3113068	SRR1910653;SRR1910683;SRR1915645
KosticAD_2015__PRJNA231909.3113111	SRR1980435;SRR1980449;SRR1980453;SRR1916414;SRR1909463
KosticAD_2015__PRJNA231909.3113114	SRR1980427;SRR1980463;SRR1980501;SRR1915652;SRR1909498
KosticAD_2015__PRJNA231909.3113118	SRR1980431;SRR1980467;SRR1980496;SRR1915782;SRR1909422
KosticAD_2015__PRJNA231909.3113339	SRR1915993;SRR1916819;SRR1918924
KosticAD_2015__PRJNA231909.3113393	SRR1916000;SRR1916844;SRR1918909
KosticAD_2015__PRJNA231909.3113604	SRR1980328;SRR1980330;SRR1980351;SRR1915636;SRR1909569
KosticAD_2015__PRJNA231909.3113627	SRR1980452;SRR1980481;SRR1980489;SRR1915769;SRR1910240
KosticAD_2015__PRJNA231909.3113663	SRR1910864;SRR1913044;SRR1913067
KosticAD_2015__PRJNA231909.3113669	SRR1980459;SRR1980460;SRR1980480;SRR1916416;SRR1915868
KosticAD_2015__PRJNA231909.3113765	SRR1980289;SRR1980360;SRR1980373;SRR1915841;SRR1915610
KosticAD_2015__PRJNA231909.3113767	SRR1980333;SRR1980341;SRR1980368;SRR1915945;SRR1915753
KosticAD_2015__PRJNA231909.3113831	SRR1980312;SRR1980325;SRR1980338;SRR1915622;SRR1910188
KosticAD_2015__PRJNA231909.3113834	SRR1980225;SRR1980236;SRR1980237;SRR1916405;SRR1909635
KosticAD_2015__PRJNA231909.3113933	SRR1980309;SRR1980317;SRR1980350;SRR1915951;SRR1915808
KosticAD_2015__PRJNA231909.3113936	SRR1980310;SRR1980362;SRR1980392;SRR1916401;SRR1909367
KosticAD_2015__PRJNA231909.3113996	SRR1916024;SRR1916593;SRR1918906
KosticAD_2015__PRJNA231909.3114185	SRR1980477;SRR1980494;SRR1980498;SRR1915623;SRR1910209
KosticAD_2015__PRJNA231909.3114201	SRR1910596;SRR1916046;SRR1916061
KosticAD_2015__PRJNA231909.3114542	SRR1915992;SRR1916821;SRR1916823
KosticAD_2015__PRJNA231909.3114545	SRR1915996;SRR1918916;SRR1918828
KosticAD_2015__PRJNA231909.3114755	SRR1980450;SRR1980462;SRR1980454;SRR1915657;SRR1909448
KosticAD_2015__PRJNA231909.3114784	SRR1980442;SRR1980483;SRR1980495;SRR1916453;SRR1915913
KosticAD_2015__PRJNA231909.3114810	SRR1980298;SRR1980343;SRR1980402;SRR1915819;SRR1909212
KosticAD_2015__PRJNA231909.3114865	SRR1980428;SRR1980438;SRR1980441;SRR1916417;SRR1918923;SRR1918833;SRR1915998;SRR1909676
KosticAD_2015__PRJNA231909.3115067	SRR1980150;SRR1980153;SRR1980159;SRR1916425;SRR1909354
KosticAD_2015__PRJNA231909.3115068	SRR1980144;SRR1980155;SRR1980156;SRR1915630;SRR1910238
KosticAD_2015__PRJNA231909.3115070	SRR1980161;SRR1980228;SRR1980232;SRR1915837;SRR1909509
KosticAD_2015__PRJNA231909.3115087	SRR1915989;SRR1918908;SRR1918832
KosticAD_2015__PRJNA231909.3115315	SRR1980345;SRR1980352;SRR1980371;SRR1915869;SRR1915679
KosticAD_2015__PRJNA231909.3115615	SRR1910580;SRR1910622;SRR1916039
KosticAD_2015__PRJNA231909.3115643	SRR1980430;SRR1980464;SRR1980470;SRR1915881;SRR1915665
KosticAD_2015__PRJNA231909.3115644	SRR1980160;SRR1980235;SRR1980152;SRR1915620;SRR1909481
KosticAD_2015__PRJNA231909.3115646	SRR1980479;SRR1980487;SRR1980502;SRR1916398;SRR1909379
KosticAD_2015__PRJNA231909.3116456	SRR1980319;SRR1980372;SRR1980385;SRR1916427;SRR1909467
KosticAD_2015__PRJNA231909.3116468	SRR1980149;SRR1980154;SRR1980233;SRR1915651;SRR1909358
KosticAD_2015__PRJNA231909.3116471	SRR1980164;SRR1980248;SRR1980158;SRR1915766;SRR1909607
KosticAD_2015__PRJNA231909.3117245	SRR1980327;SRR1980340;SRR1980374;SRR1915886;SRR1915687
KosticAD_2015__PRJNA231909.3117247	SRR1980004;SRR1980005;SRR1980003;SRR1915770;SRR1910201
KosticAD_2015__PRJNA231909.3117249	SRR1980347;SRR1980370;SRR1980377;SRR1915618;SRR1909520
KosticAD_2015__PRJNA231909.3117378	SRR1980724;SRR1980725;SRR1980726
KosticAD_2015__PRJNA231909.3117380	SRR1910654;SRR1916042;SRR1916051
KosticAD_2015__PRJNA231909.3117383	SRR1910605;SRR1910694;SRR1916048
KosticAD_2015__PRJNA231909.3117624	SRR1980439;SRR1980499;SRR1980500;SRR1916399;SRR1909572
KosticAD_2015__PRJNA231909.3117627	SRR1980162;SRR1980226;SRR1980231;SRR1915786;SRR1909574
KosticAD_2015__PRJNA231909.3119726	SRR1980318;SRR1980384;SRR1980386;SRR1915757;SRR1909506
KosticAD_2015__PRJNA231909.3119727	SRR1980301;SRR1980348;SRR1980396;SRR1915872;SRR1915609
KosticAD_2015__PRJNA231909.3119729	SRR1980290;SRR1980331;SRR1980337;SRR1915784;SRR1909590
LeChatelierE_2013__MH0001	ERR321063;ERR321062
LeChatelierE_2013__MH0002	ERR321066;ERR321065;ERR321064
LeChatelierE_2013__MH0003	ERR321069;ERR321068;ERR321067
LeChatelierE_2013__MH0004	ERR321071;ERR321070
LeChatelierE_2013__MH0005	ERR321072;ERR321073
LeChatelierE_2013__MH0006	ERR321079;ERR321078;ERR321077;ERR321076;ERR321075;ERR321074
LeChatelierE_2013__MH0007	ERR321081;ERR321080
LeChatelierE_2013__MH0008	ERR321083;ERR321082
LeChatelierE_2013__MH0009	ERR321086;ERR321085;ERR321084
LeChatelierE_2013__MH0010	ERR321088;ERR321087
LeChatelierE_2013__MH0011	ERR321091;ERR321090;ERR321089
LeChatelierE_2013__MH0012	ERR321098;ERR321097;ERR321096;ERR321095;ERR321094;ERR321093;ERR321092
LeChatelierE_2013__MH0013	ERR321100;ERR321099
LeChatelierE_2013__MH0014	ERR321103;ERR321102;ERR321101
LeChatelierE_2013__MH0015	ERR321105;ERR321104
LeChatelierE_2013__MH0016	ERR321108;ERR321107;ERR321106
LeChatelierE_2013__MH0017	ERR321110;ERR321109
LeChatelierE_2013__MH0018	ERR321112;ERR321111
LeChatelierE_2013__MH0019	ERR321114;ERR321113
LeChatelierE_2013__MH0020	ERR321116;ERR321115
LeChatelierE_2013__MH0021	ERR321118;ERR321117
LeChatelierE_2013__MH0022	ERR321120;ERR321119
LeChatelierE_2013__MH0023	ERR321122;ERR321121
LeChatelierE_2013__MH0024	ERR321124;ERR321123
LeChatelierE_2013__MH0025	ERR321126;ERR321125
LeChatelierE_2013__MH0026	ERR321128;ERR321127
LeChatelierE_2013__MH0027	ERR321130;ERR321129
LeChatelierE_2013__MH0028	ERR321132;ERR321131
LeChatelierE_2013__MH0030	ERR321134;ERR321133
LeChatelierE_2013__MH0031	ERR321136;ERR321135
LeChatelierE_2013__MH0032	ERR321138;ERR321137
LeChatelierE_2013__MH0033	ERR321140;ERR321139
LeChatelierE_2013__MH0034	ERR321142;ERR321141
LeChatelierE_2013__MH0035	ERR321144;ERR321143
LeChatelierE_2013__MH0036	ERR321146;ERR321145
LeChatelierE_2013__MH0037	ERR321148;ERR321147
LeChatelierE_2013__MH0038	ERR321150;ERR321149
LeChatelierE_2013__MH0039	ERR321152;ERR321151
LeChatelierE_2013__MH0040	ERR321154;ERR321153
LeChatelierE_2013__MH0041	ERR321156;ERR321155
LeChatelierE_2013__MH0042	ERR321158;ERR321157
LeChatelierE_2013__MH0043	ERR321160;ERR321159
LeChatelierE_2013__MH0044	ERR321162;ERR321161
LeChatelierE_2013__MH0045	ERR321164;ERR321163
LeChatelierE_2013__MH0046	ERR321166;ERR321165
LeChatelierE_2013__MH0047	ERR321168;ERR321167
LeChatelierE_2013__MH0048	ERR321170;ERR321169
LeChatelierE_2013__MH0049	ERR321172;ERR321171
LeChatelierE_2013__MH0050	ERR321174;ERR321173
LeChatelierE_2013__MH0051	ERR321176;ERR321175
LeChatelierE_2013__MH0052	ERR321178;ERR321177
LeChatelierE_2013__MH0053	ERR321180;ERR321179
LeChatelierE_2013__MH0054	ERR321182;ERR321181
LeChatelierE_2013__MH0055	ERR321184;ERR321183
LeChatelierE_2013__MH0056	ERR321186;ERR321185
LeChatelierE_2013__MH0057	ERR321188;ERR321187
LeChatelierE_2013__MH0058	ERR321190;ERR321189
LeChatelierE_2013__MH0059	ERR321192;ERR321191
LeChatelierE_2013__MH0060	ERR321194;ERR321193
LeChatelierE_2013__MH0061	ERR321196;ERR321195
LeChatelierE_2013__MH0062	ERR321198;ERR321197
LeChatelierE_2013__MH0063	ERR321200;ERR321199
LeChatelierE_2013__MH0064	ERR321202;ERR321201
LeChatelierE_2013__MH0065	ERR321204;ERR321203
LeChatelierE_2013__MH0066	ERR321206;ERR321205
LeChatelierE_2013__MH0067	ERR321208;ERR321207
LeChatelierE_2013__MH0068	ERR321210;ERR321209
LeChatelierE_2013__MH0069	ERR321213;ERR321212;ERR321211
LeChatelierE_2013__MH0070	ERR321215;ERR321214
LeChatelierE_2013__MH0071	ERR321217;ERR321216
LeChatelierE_2013__MH0072	ERR321219;ERR321218
LeChatelierE_2013__MH0073	ERR321221;ERR321220
LeChatelierE_2013__MH0074	ERR321223;ERR321222
LeChatelierE_2013__MH0075	ERR321225;ERR321224
LeChatelierE_2013__MH0076	ERR321226;ERR321227
LeChatelierE_2013__MH0077	ERR321229;ERR321228
LeChatelierE_2013__MH0078	ERR321231;ERR321230
LeChatelierE_2013__MH0079	ERR321233;ERR321232
LeChatelierE_2013__MH0080	ERR321235;ERR321234
LeChatelierE_2013__MH0081	ERR321237;ERR321236
LeChatelierE_2013__MH0082	ERR321239;ERR321238
LeChatelierE_2013__MH0083	ERR321241;ERR321240
LeChatelierE_2013__MH0084	ERR321243;ERR321242
LeChatelierE_2013__MH0085	ERR321245;ERR321244
LeChatelierE_2013__MH0086	ERR321247;ERR321246
LeChatelierE_2013__MH0087	ERR321251;ERR321250;ERR321249;ERR321248
LeChatelierE_2013__MH0088	ERR321252
LeChatelierE_2013__MH0089	ERR321256;ERR321255;ERR321254;ERR321253
LeChatelierE_2013__MH0090	ERR321260;ERR321259;ERR321258;ERR321257
LeChatelierE_2013__MH0091	ERR321261
LeChatelierE_2013__MH0092	ERR321268;ERR321267;ERR321266;ERR321265;ERR321264;ERR321263;ERR321262
LeChatelierE_2013__MH0093	ERR321274;ERR321273;ERR321272;ERR321271;ERR321270;ERR321269
